district,agro_ecological_zone,zardi_zone,season,mean_rainfall_mm,mean_temperature_c,drought_index,season_length_days,soil_type,soil_ph,organic_matter_pct,drainage,elevation_m,ndvi,market_access,climate_t2m_max_mean_c,climate_t2m_min_mean_c,climate_relative_humidity_pct,climate_daily_rainfall_mean_mm,climate_annualized_rainfall_mm,climate_surface_pressure_kpa,climate_wind_speed_m_s,climate_solar_radiation_mj_m2_day,isda_ph_0_20,isda_ph_20_50,isda_carbon_organic_0_20_g_kg,isda_carbon_organic_20_50_g_kg,isda_nitrogen_total_0_20_g_kg,isda_nitrogen_total_20_50_g_kg,isda_aluminium_extractable_0_20_ppm,isda_aluminium_extractable_20_50_ppm,isda_phosphorous_extractable_0_20_ppm,isda_phosphorous_extractable_20_50_ppm,isda_potassium_extractable_0_20_ppm,isda_potassium_extractable_20_50_ppm,isda_magnesium_extractable_0_20_ppm,isda_magnesium_extractable_20_50_ppm
Kalangala,Lake Victoria Crescent and Central Uganda,Central,2008_Second,996.63,,0.649,115,acidic_loam,5.063,55.75,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Kalangala,Lake Victoria Crescent and Central Uganda,Central,2009_First,1622.25,,0.361,120,acidic_loam,5.063,55.75,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Kampala,Lake Victoria Crescent and Central Uganda,Central,2008_Second,2286.5,22.2833,0.054,115,loam,6.5,25.231,moderate,1200,0.094,unknown,26.8916,18.4651,76.6071,4.1139,1502.6202,88.5566,1.5366,18.5009,6.5,6.5,11.2,6.4,1.3,1.0,133.3,120.5,12.5,12.5,199.3,163.0,199.3,199.3
Kampala,Lake Victoria Crescent and Central Uganda,Central,2009_First,2390.5,22.2833,0.006,120,loam,6.5,25.231,poor,1200,0.094,unknown,26.8916,18.4651,76.6071,4.1139,1502.6202,88.5566,1.5366,18.5009,6.5,6.5,11.2,6.4,1.3,1.0,133.3,120.5,12.5,12.5,199.3,163.0,199.3,199.3
Kayunga,Lake Victoria Crescent and Central Uganda,Central,2008_Second,1024.92,,0.636,115,loam,6.13,22.396,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Kayunga,Lake Victoria Crescent and Central Uganda,Central,2009_First,921.35,,0.684,120,loam,6.13,22.396,poor,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Kiboga,Lake Victoria Crescent and Central Uganda,Central,2008_Second,724.8,,0.775,115,loam,6.039,19.984,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Kiboga,Lake Victoria Crescent and Central Uganda,Central,2009_First,744.27,,0.766,120,loam,6.039,19.984,poor,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Luwero,Lake Victoria Crescent and Central Uganda,Central,2008_Second,1029.48,,0.634,115,loam,5.931,27.378,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Luwero,Lake Victoria Crescent and Central Uganda,Central,2009_First,945.48,,0.673,120,loam,5.931,27.378,poor,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Lyantonde,Lake Victoria Crescent and Central Uganda,Central,2008_Second,420.03,,0.915,115,loam,5.804,24.44,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Lyantonde,Lake Victoria Crescent and Central Uganda,Central,2009_First,331.68,,0.956,120,loam,5.804,24.44,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Masaka,Lake Victoria Crescent and Central Uganda,Central,2008_Second,794.41,22.872,0.742,115,loam,5.8,22.558,moderate,1200,0.5107,unknown,24.9484,20.6812,72.5677,4.0031,1462.1142,88.4071,2.6408,17.4495,5.8,5.7,12.5,8.0,1.1,0.7,163.0,163.0,13.9,12.5,147.4,108.9,120.5,98.5
Masaka,Lake Victoria Crescent and Central Uganda,Central,2009_First,1078.59,22.872,0.611,120,loam,5.8,22.558,moderate,1200,0.5107,unknown,24.9484,20.6812,72.5677,4.0031,1462.1142,88.4071,2.6408,17.4495,5.8,5.7,12.5,8.0,1.1,0.7,163.0,163.0,13.9,12.5,147.4,108.9,120.5,98.5
Mityana,Lake Victoria Crescent and Central Uganda,Central,2008_Second,1011.2,,0.642,115,loam,5.86,21.866,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Mityana,Lake Victoria Crescent and Central Uganda,Central,2009_First,894.97,,0.696,120,loam,5.86,21.866,poor,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Mpigi,Lake Victoria Crescent and Central Uganda,Central,2008_Second,466.66,,0.894,115,loam,5.917,25.231,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Mpigi,Lake Victoria Crescent and Central Uganda,Central,2009_First,508.11,,0.875,120,loam,5.917,25.231,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Mubende,Lake Victoria Crescent and Central Uganda,Central,2008_Second,550.83,,0.855,115,loam,5.621,21.314,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Mubende,Lake Victoria Crescent and Central Uganda,Central,2009_First,371.73,,0.937,120,loam,5.621,21.314,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Mukono,Lake Victoria Crescent and Central Uganda,Central,2008_Second,1015.32,,0.641,115,acidic_loam,5.07,50.796,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Mukono,Lake Victoria Crescent and Central Uganda,Central,2009_First,1069.11,,0.616,120,acidic_loam,5.07,50.796,poor,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Nakaseke,Lake Victoria Crescent and Central Uganda,Central,2008_Second,496.75,,0.88,115,loam,6.049,26.174,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Nakaseke,Lake Victoria Crescent and Central Uganda,Central,2009_First,426.64,,0.912,120,loam,6.049,26.174,poor,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Nakasongola,Lake Victoria Crescent and Central Uganda,Central,2008_Second,497.23,,0.88,115,loam,6.234,21.466,moderate,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
Nakasongola,Lake Victoria Crescent and Central Uganda,Central,2009_First,370.66,,0.938,120,loam,6.234,21.466,poor,1200,,unknown,,,,,,,,,,,,,,,,,,,,,,
