district,variety_id,available,supplier,availability_note
Abim,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Adjumani,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Amolatar,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Amuria,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Amuru,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Apac,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Arua,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Budaka,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Bududa,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Bugiri,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Bukedea,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Bukwo,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Buliisa,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Bundibugyo,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Bushenyi,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Busia,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Butaleja,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Dokolo,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Gulu,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Hoima,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Ibanda,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Iganga,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Isingiro,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Jinja,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kaabong,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kabale,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kabarole,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kaberamaido,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kalangala,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kaliro,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kampala,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kamuli,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kamwenge,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kanungu,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kapchorwa,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kasese,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Katakwi,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kayunga,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kibaale,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kiboga,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kiruhura,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kisoro,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kitgum,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Koboko,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
Kotido,NARO/2019/BEN/037,yes,Pearl Seeds,1 licensed seed company(ies) listed nationally
