feature,mean_abs_shap
num__mean_rainfall_mm,0.7008883
num__soil_ph,0.45210803
cat__market_preference_low,0.30613726
num__organic_matter_pct,0.2906806
num__rainfall_range_distance_mm,0.28520158
num__maturity_days,0.24114814
num__season_length_days,0.23581748
num__drought_index,0.22764234
cat__agro_ecological_zone_Lake Victoria Crescent and Central Uganda,0.19976366
num__rainfall_in_range,0.15039633
cat__district_Mubende,0.14654273
num__input_level_gap,0.13899024
cat__market_preference_medium,0.13321449
cat__drainage_moderate,0.12849167
cat__district_Kiboga,0.10746171
cat__district_Nakaseke,0.08423779
cat__agro_ecological_zone_Western and South Western Highlands,0.0816118
num__drought_x_index,0.08136344
cat__district_Mukono,0.079965904
cat__season_2008_Second,0.079628795
cat__zardi_zone_Central,0.07900355
cat__resource_level_medium,0.07722919
cat__district_Mityana,0.07562124
cat__district_Kayunga,0.06946624
cat__drainage_poor,0.06518448
